name_of_interviewer,district,age,gender,caste_ethnicity,occupation,any_health_problem,are_main_problems_addressed,biggest_prob,satisfied_with_gov,top_thing_gov,information_about_gov_support,a_Top_need_info,Satisfied_with_NGOs,a_Top_need_NGOs,is_support_fair,a_Top_reason_not_fair,prepared_for_winter,have_been_heard,relief_effort_progress,a_Top_problem_women,id,submission_time,index,Dage_1,Dage_2,Dage_3,Dage_4,Dage_5,Dage_6,Dgender_1,Dgender_2,age_15_40,age_40_and_above,age_not_avail,Doccupation_1,Doccupation_2,Doccupation_3,Doccupation_4,Doccupation_5,farmer_laborer,not_farmer_laborer,Dcaste_ethnicity_1,Dcaste_ethnicity_2,Dcaste_ethnicity_3,Dcaste_ethnicity_4,Dcaste_ethnicity_5,Dcaste_ethnicity_6,Dcaste_ethnicity_7,Dcaste_ethnicity_8,Dcaste_ethnicity_9,caste_Brah_Chhe,caste_New_Gur_Tam,caste_Janjati,caste_Dal_Mus_Other,Dany_health_problem_1,Dany_health_problem_2,Dany_health_problem_3,Dare_main_problems_addressed_1,Dare_main_problems_addressed_2,Dare_main_problems_addressed_3,Dare_main_problems_addressed_4,Dare_main_problems_addressed_5,Dare_main_problems_addressed_6,Dare_main_problems_addressed_7
"Muna Tamang","Rasuwa","25_39","male","Tamang","farmer_laborer","yes__some_diff","3___neutral","healthcare","refused",NA,"1___not_at_all","news_about_government_decision","refused",NA,"4___mostly_yes",NA,"1___not_at_all","refused","1___not_at_all",NA,723318,"2015-09-29T06:54:11",209,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Bhimraj Gurung","Gorkha","40_54","male","Gurung","government_ser","yes__some_diff","1___not_at_all","long_term_shelter__housing","4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","building_mater","4___mostly_yes",NA,"3___neutral","refused","4___mostly_yes",NA,723319,"2015-09-29T06:54:30",210,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","40_54","male","Chhetri","other","no_difficulty","3___neutral","long_term_shelter__housing","2___very_little","other","4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"2___very_little","3___neutral","4___mostly_yes",NA,723321,"2015-09-29T06:54:46",211,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Namin prajapati","Bhaktapur","25_39","male","Newar","ngo_worker_bus","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","2___very_little","how_to_register_for_access_sup","2___very_little","building_mater","4___mostly_yes",NA,"2___very_little","2___not_very_m","1___not_at_all",NA,723322,"2015-09-29T06:54:51",212,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Maheswor Subedi","Dhading","55_greater","male","Tamang","other","yes__some_diff","3___neutral","long_term_shelter__housing","2___very_little","housing_inspec","5___completely_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"4___mostly_yes","don_t_know","2___very_little",NA,723324,"2015-09-29T06:55:49",213,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"sarita sapkato","Kavrepalanchok","40_54","male","Tamang","farmer_laborer","yes__some_diff","2___very_little","financial_support","3___neutral","building_mater","2___very_little","news_about_government_decision","4___mostly_yes",NA,"2___very_little","based_on_caste","1___not_at_all","1___not_at_all","4___mostly_yes",NA,723325,"2015-09-29T06:56:06",214,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Muna Tamang","Rasuwa","25_39","male","Tamang","farmer_laborer","no_difficulty","2___very_little","financial_support","refused",NA,"2___very_little","news_about_government_decision","refused",NA,"refused",NA,"1___not_at_all","2___not_very_m","refused",NA,723327,"2015-09-29T06:56:37",215,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Prakash Magarati","Sindhuli","55_greater","female","Brahmin","farmer_laborer","no_difficulty","5___completely_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"1___not_at_all","5___completely","5___completely_yes","long_term_shelter__housing",723328,"2015-09-29T06:56:38",216,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"Dhamendra Dahal","Makwanpur","40_54","male","Janajati","skilled_worker","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","building_mater","1___not_at_all","news_about_government_decision","2___very_little","building_mater","1___not_at_all","other","1___not_at_all","2___not_very_m","don_t_know",NA,723329,"2015-09-29T06:56:41",217,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","40_54","female","Chhetri","farmer_laborer","no_difficulty","3___neutral","long_term_shelter__housing","3___neutral","cash_for_work","3___neutral","news_about_government_decision","3___neutral","other","4___mostly_yes",NA,"2___very_little","3___neutral","4___mostly_yes","livelihoods",723330,"2015-09-29T06:57:10",218,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Namin prajapati","Bhaktapur","25_39","male","Chhetri","ngo_worker_bus","no_difficulty","4___mostly_yes",NA,"2___very_little","cash_for_work","2___very_little","how_to_register_for_access_sup","2___very_little","cash_for_work","2___very_little","first_come__fi","2___very_little","2___not_very_m","1___not_at_all",NA,723332,"2015-09-29T06:57:59",219,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Muna Tamnag","Rasuwa","40_54","female","Newar","other","yes__a_lot_of_","5___completely_yes",NA,"2___very_little","building_mater","refused",NA,"2___very_little","cash_for_work","refused",NA,"refused","3___neutral","2___very_little","long_term_shelter__housing",723337,"2015-09-29T06:59:11",220,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"Bidur Acharya","Sindhupalchowk","40_54","male","Chhetri","farmer_laborer","no_difficulty","3___neutral","long_term_shelter__housing","3___neutral","other","3___neutral","news_about_government_decision","3___neutral","other","3___neutral","other","2___very_little","3___neutral","3___neutral",NA,723338,"2015-09-29T06:59:14",221,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Bhimraj Gurung","Gorkha","40_54","female","Janajati","farmer_laborer","no_difficulty","3___neutral","long_term_shelter__housing","3___neutral","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","4___mostly_yes",NA,"3___neutral","1___not_at_all","4___mostly_yes","child_protecti",723340,"2015-09-29T06:59:20",222,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"sarita sapkota","Kavrepalanchok","25_39","male","Brahmin","other","yes__some_diff","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","2___very_little","building_mater","2___very_little","first_come__fi","2___very_little","2___not_very_m","1___not_at_all",NA,723341,"2015-09-29T06:59:25",223,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Goma Khatri","Sindhupalchowk","40_54","male","Chhetri","government_ser","no_difficulty","5___completely_yes",NA,"1___not_at_all","cash_for_work","2___very_little","how_to_register_for_access_sup","1___not_at_all","food_aid","5___completely_yes",NA,"1___not_at_all","1___not_at_all","1___not_at_all",NA,723342,"2015-09-29T06:59:35",224,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Maheswor Subedi","Dhading","55_greater","male","Tamang","farmer_laborer","yes__some_diff","2___very_little","clean_water","2___very_little","building_mater","4___mostly_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes","don_t_know","4___mostly_yes",NA,723343,"2015-09-29T06:59:47",225,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"Sarita Dahal","Makwanpur","25_39","male","Chhetri","skilled_worker","no_difficulty","5___completely_yes",NA,"3___neutral","cash_for_work","2___very_little","how_to_get_shelter_materials","2___very_little","other","1___not_at_all","first_come__fi","1___not_at_all","1___not_at_all","3___neutral",NA,723344,"2015-09-29T07:00:24",226,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Prakash Magarati","Sindhuli","55_greater","female","Tamang","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"1___not_at_all","1___not_at_all","4___mostly_yes","long_term_shelter__housing",723346,"2015-09-29T07:00:38",227,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","25_39","male","Chhetri","other","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","other","4___mostly_yes",NA,"5___completely_yes",NA,"4___mostly_yes",NA,"2___very_little","3___neutral","4___mostly_yes",NA,723347,"2015-09-29T07:01:12",228,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Umesh thapa","Bhaktapur","40_54","male","Newar","farmer_laborer","no_difficulty","2___very_little","long_term_shelter__housing","4___mostly_yes",NA,"2___very_little","news_about_government_decision","1___not_at_all","building_mater","1___not_at_all","first_come__fi","5___completely_yes","2___not_very_m","1___not_at_all",NA,723348,"2015-09-29T07:01:31",229,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Muna Tamang","Rasuwa","25_39","female","Tamang","farmer_laborer","yes__some_diff","2___very_little","financial_support","refused",NA,"1___not_at_all","news_about_government_decision","refused",NA,"3___neutral","because_people","refused","1___not_at_all","refused","long_term_shelter__housing",723349,"2015-09-29T07:02:05",230,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"sarita sapkota","Kavrepalanchok","55_greater","female","Chhetri","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","4___mostly_yes",NA,"1___not_at_all","based_on_caste","2___very_little","1___not_at_all","2___very_little","long_term_shelter__housing",723354,"2015-09-29T07:03:30",231,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Prakash Magarati","Sindhuli","40_54","male","Brahmin","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","5___completely_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"4___mostly_yes","1___not_at_all","4___mostly_yes",NA,723355,"2015-09-29T07:03:56",232,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"Muna Tamnag","Rasuwa","25_39","male","Newar","ngo_worker_bus","no_difficulty","2___very_little","financial_support","refused",NA,"1___not_at_all","news_about_government_decision","refused",NA,"3___neutral","only_if_damage","refused","2___not_very_m","refused",NA,723356,"2015-09-29T07:04:25",233,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"umesh thapa","Bhaktapur","40_54","male","Newar","government_ser","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","2___very_little","news_about_government_decision","1___not_at_all","building_mater","1___not_at_all","first_come__fi","4___mostly_yes","1___not_at_all","1___not_at_all",NA,723357,"2015-09-29T07:04:31",234,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","40_54","male","Chhetri","government_ser","no_difficulty","2___very_little","long_term_shelter__housing","1___not_at_all","other","4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"2___very_little","2___not_very_m","4___mostly_yes",NA,723358,"2015-09-29T07:04:41",235,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Sarita Dahal","Makwanpur","40_54","male","Chhetri","farmer_laborer","no_difficulty","4___mostly_yes",NA,"refused",NA,"4___mostly_yes",NA,"don_t_know",NA,"2___very_little","based_on_polit","1___not_at_all","1___not_at_all","1___not_at_all",NA,723359,"2015-09-29T07:05:09",236,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Maheswor Subedi","Dhading","40_54","male","Chhetri","ngo_worker_bus","no_difficulty","4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes","don_t_know","2___very_little",NA,723360,"2015-09-29T07:05:34",237,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Bhimraj Gurung","Gorkha","25_39","male","Gurung","farmer_laborer","no_difficulty","3___neutral","long_term_shelter__housing","1___not_at_all","building_mater","4___mostly_yes",NA,"3___neutral","cash_for_work","4___mostly_yes",NA,"1___not_at_all","3___neutral","4___mostly_yes",NA,723361,"2015-09-29T07:06:14",238,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Prakash Magarati","Sindhuli","55_greater","male","Brahmin","farmer_laborer","yes__some_diff","4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"4___mostly_yes",NA,"2___very_little","5___completely","1___not_at_all",NA,723362,"2015-09-29T07:06:15",239,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"sarita sapkota","Kavrepalanchok","15_24","male","Brahmin","farmer_laborer","yes__some_diff","1___not_at_all","livelihoods","1___not_at_all","building_mater","2___very_little","news_about_government_decision","4___mostly_yes",NA,"1___not_at_all","based_on_caste","1___not_at_all","don_t_know","1___not_at_all",NA,723363,"2015-09-29T07:06:27",240,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Maheswor Subedi","Dhading","55_greater","male","Brahmin","farmer_laborer","yes__some_diff","4___mostly_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"2___very_little","building_mater","5___completely_yes",NA,"4___mostly_yes","don_t_know","2___very_little",NA,723364,"2015-09-29T07:06:37",241,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"Bidur Acharya","Sindhupalchowk","40_54","male","Chhetri","government_ser","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","other","4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"2___very_little","2___not_very_m","5___completely_yes",NA,723365,"2015-09-29T07:06:51",242,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"umesh thapa","Bhaktapur","40_54","male","Newar","farmer_laborer","no_difficulty","2___very_little","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","4___mostly_yes",NA,"2___very_little","first_come__fi","4___mostly_yes","2___not_very_m","2___very_little",NA,723367,"2015-09-29T07:07:30",243,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Dev Bahadur B.K","Rasuwa","25_39","male","Gurung","farmer_laborer","no_difficulty","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","5___completely","5___completely_yes",NA,723369,"2015-09-29T07:09:02",244,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Prakash Magarati","Sindhuli","40_54","female","Brahmin","farmer_laborer","no_difficulty","1___not_at_all","clean_water","5___completely_yes",NA,"5___completely_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","4___mostly_yes","1___not_at_all","long_term_shelter__housing",723371,"2015-09-29T07:09:20",246,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"Bhimraj Gurung","Gorkha","25_39","female","Janajati","other","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","2___very_little","how_to_get_shelter_materials","2___very_little","building_mater","4___mostly_yes",NA,"1___not_at_all","3___neutral","3___neutral","short_term_shelter__tent_shelt",723382,"2015-09-29T07:09:42",247,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"sarita sapkota","Kavrepalanchok","25_39","female","Newar","other","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","2___very_little","building_mater","2___very_little","first_come__fi","1___not_at_all","1___not_at_all","2___very_little","long_term_shelter__housing",723384,"2015-09-29T07:10:21",248,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Dev Bahadur B.K","Rasuwa","25_39","male","Dalit","farmer_laborer","no_difficulty","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","4___mostly_yes","5___completely_yes",NA,723385,"2015-09-29T07:10:46",249,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
"Maheswor Subedi","Dhading","25_39","female","Brahmin","farmer_laborer","no_difficulty","4___mostly_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"2___very_little","building_mater","5___completely_yes",NA,"5___completely_yes","don_t_know","2___very_little","long_term_shelter__housing",723387,"2015-09-29T07:10:51",250,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Namin prajapati","Bhaktapur","55_greater","male","Newar","ngo_worker_bus","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","5___completely_yes",NA,"1___not_at_all","building_mater","1___not_at_all","first_come__fi","2___very_little","1___not_at_all","1___not_at_all",NA,723389,"2015-09-29T07:10:57",251,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","25_39","female","Chhetri","other","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","2___very_little","how_to_get_shelter_materials","4___mostly_yes",NA,"5___completely_yes",NA,"2___very_little","2___not_very_m","5___completely_yes","long_term_shelter__housing",723390,"2015-09-29T07:11:00",252,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","55_greater","male","Chhetri","farmer_laborer","no_difficulty","2___very_little","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","how_to_get_shelter_materials","4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","2___not_very_m","4___mostly_yes",NA,723391,"2015-09-29T07:11:30",253,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Sarita Dahal","Makwanpur","25_39","female","Tamang","other","no_difficulty","1___not_at_all","healthcare","1___not_at_all","building_mater","1___not_at_all","how_to_get_shelter_materials","1___not_at_all","building_mater","1___not_at_all","other","1___not_at_all","1___not_at_all","1___not_at_all","gender_based_v",723393,"2015-09-29T07:12:21",254,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Bidur Acharya","Sindhupalchowk","25_39","male","Chhetri","farmer_laborer","no_difficulty","2___very_little","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","4___mostly_yes",NA,"4___mostly_yes",NA,"1___not_at_all","2___not_very_m","5___completely_yes",NA,723394,"2015-09-29T07:12:37",255,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Dev bahadur B.K","Rasuwa","40_54","female","Gurung","farmer_laborer","no_difficulty","4___mostly_yes",NA,"2___very_little","cash_for_work","5___completely_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"4___mostly_yes","2___not_very_m","5___completely_yes","financial_support",723395,"2015-09-29T07:13:00",256,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"Goma Khatri","Sindhupalchowk","40_54","male","Dalit","farmer_laborer","yes__a_lot_of_","1___not_at_all","long_term_shelter__housing","5___completely_yes",NA,"2___very_little","how_to_register_for_access_sup","4___mostly_yes",NA,"1___not_at_all","based_on_dista","3___neutral","1___not_at_all","1___not_at_all",NA,723396,"2015-09-29T07:13:05",257,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Maheswor Subedi","Dhading","55_greater","female","Chhetri","farmer_laborer","no_difficulty","2___very_little","clean_water","4___mostly_yes",NA,"4___mostly_yes",NA,"don_t_know",NA,"5___completely_yes",NA,"4___mostly_yes","don_t_know","2___very_little",NA,723397,"2015-09-29T07:13:23",258,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"umesh thapa","Bhaktapur","40_54","male","Brahmin","skilled_worker","no_difficulty","4___mostly_yes",NA,"4___mostly_yes",NA,"5___completely_yes",NA,"4___mostly_yes",NA,"2___very_little","first_come__fi","4___mostly_yes","2___not_very_m","2___very_little",NA,723398,"2015-09-29T07:13:30",259,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Prakash Magarati","Sindhuli","40_54","male","Chhetri","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","1___not_at_all","cash_for_work","5___completely_yes",NA,"2___very_little","cash_for_work","5___completely_yes",NA,"1___not_at_all","1___not_at_all","1___not_at_all",NA,723399,"2015-09-29T07:13:50",260,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Sarita Dahal","Makwanpur","40_54","female","Janajati","farmer_laborer","no_difficulty","1___not_at_all","other","1___not_at_all","cash_for_work","1___not_at_all","news_about_government_decision","1___not_at_all","building_mater","1___not_at_all","first_come__fi","1___not_at_all","1___not_at_all","1___not_at_all","sexual_and_reproductive_servic",723400,"2015-09-29T07:14:48",261,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"sarita sapkota","Kavrepalanchok","40_54","female","Brahmin","farmer_laborer","yes__some_diff","1___not_at_all","toilets_sanitation","2___very_little","cash_for_work","1___not_at_all","how_to_get_shelter_materials","1___not_at_all","building_mater","1___not_at_all","based_on_polit","1___not_at_all","1___not_at_all","2___very_little","toilets_sanitation",723401,"2015-09-29T07:14:52",262,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"Dev bahadur B.K","Rasuwa","25_39","male","Gurung","farmer_laborer","no_difficulty","5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes",NA,"5___completely_yes","5___completely","5___completely_yes",NA,723402,"2015-09-29T07:14:58",263,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
"Bhimraj Gurung","Gorkha","25_39","female","Janajati","farmer_laborer","no_difficulty","2___very_little","short_term_she","2___very_little","building_mater","3___neutral","news_about_government_decision","3___neutral","cash_for_work","5___completely_yes",NA,"1___not_at_all","2___not_very_m","3___neutral","livelihoods",723403,"2015-09-29T07:15:07",264,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"Bishal Adhikari","Gorkha","25_39","male","Janajati","farmer_laborer","yes__some_diff","1___not_at_all","long_term_shelter__housing","1___not_at_all","cash_for_work","3___neutral","news_about_government_decision","3___neutral","cash_for_work","5___completely_yes",NA,"1___not_at_all","1___not_at_all","3___neutral",NA,723404,"2015-09-29T07:15:34",265,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
